GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetCalculator,calculator,Calculator,4,69,2,6,1,16,2,11,0,9
ProjetCalculator,maven_m1,App,7,0,0,0,3,0,2,0,2,0
